SNP	gene	beta	t-stat	p-value	FDR
rs1799987	ENSG00000160791	2.54705328141327	35.2527133401316	1.7313502349744e-120	2.22187292084687e-114
rs111421016	ENSG00000229391	-1.24888908518167	-21.6849933281507	6.14702524943513e-68	3.9442940745273e-62
rs115013759	ENSG00000229391	-1.27336370777456	-21.4001602835943	9.4425482137267e-67	4.03926402951444e-61
rs2058660	ENSG00000115602	-1.33031522763087	-16.6780360921113	5.33884750451883e-47	1.71285977545102e-41
rs114240154	ENSG00000237541	-0.788730245760518	-14.8321372870563	2.08948035563542e-39	5.36293550206666e-34
rs660895	ENSG00000237541	-0.843033818293583	-13.4849776479602	5.27296530121659e-34	1.12781521407111e-28
rs115013759	ENSG00000237541	-0.956285376408977	-12.986276398843	4.7867854101914e-32	8.77566839862286e-27
rs532098	ENSG00000237541	-0.675974972351149	-12.705480475336	5.89852237176921e-31	9.46209991636764e-26
rs111421016	ENSG00000237541	-0.908369902207267	-12.5075499034921	3.42054261041721e-30	4.87738211301711e-25
rs9273493	ENSG00000179344	0.292036992502162	12.3592684570899	1.26725799777151e-29	1.62629499918414e-24
rs4320356	ENSG00000026950	0.203260886762049	11.9804378017975	3.4935728250757e-28	4.07578626430046e-23
rs116474664	ENSG00000237541	-0.668276321444302	-11.664156969977	5.38328211971127e-27	5.75705236941969e-22
rs115013759	ENSG00000232629	-0.943324747608564	-11.43722717771	3.75369283157454e-26	3.70552429017736e-21
rs114240154	ENSG00000232629	-0.709436762553969	-11.3625501867516	7.08484441463533e-26	6.4943631175007e-21
rs111421016	ENSG00000232629	-0.887563085201501	-10.9051748133994	3.31899542792291e-24	2.83955104971412e-19
rs115736223	ENSG00000237541	-0.62731864361267	-10.4636293905183	1.26207236955454e-22	1.01227511822e-17
rs116392568	ENSG00000243753	-0.302048303792479	-10.2962083226026	4.91195163183665e-22	3.70799761427374e-17
rs660895	ENSG00000232629	-0.716572575685415	-9.74231695560461	4.03991022617264e-20	2.88027195090635e-15
rs114240154	ENSG00000196735	0.212887244763763	9.53661950104149	2.00554260497192e-19	1.35460469722492e-14
rs115736223	ENSG00000232629	-0.604861529212904	-9.07316208258443	6.88111016915221e-18	4.41532627002804e-13
rs116474664	ENSG00000232629	-0.585211460047356	-8.91362370153503	2.26668125319956e-17	1.38517754880645e-12
rs74942078	ENSG00000253570	-0.446781349041945	-8.51131178496437	4.3168019914746e-16	2.51810440822509e-11
rs114676850	ENSG00000253570	-0.300557985327981	-8.48646980226548	5.16346860660271e-16	2.88103139360356e-11
rs116392568	ENSG00000235290	-0.363592116110938	-8.11692480680645	7.1167256420691e-15	3.80542588230368e-10
rs532098	ENSG00000232629	-0.506280946167335	-7.95742218502303	2.15551392365871e-14	1.10648392699274e-09
rs532098	ENSG00000229391	-0.459093577230263	-7.75314071209108	8.71788240632297e-14	4.30300592842984e-09
rs111410428	ENSG00000237541	-0.454609394804474	-7.72025039561685	1.08918778863086e-13	5.17694183159327e-09
rs111410428	ENSG00000229391	-0.432845197345476	-7.2836492551996	1.96438787930251e-12	9.00333687318121e-08
rs115736223	ENSG00000229391	-0.448857349408081	-6.98797538090063	1.30045593819892e-11	5.75482246102606e-07
rs6734762	ENSG00000115607	0.483383080934846	6.96493487551522	1.50322190262038e-11	6.43037241875661e-07
rs116392568	ENSG00000225851	-0.535462107764454	-6.84982033057744	3.08414601603863e-11	1.27675487000344e-06
rs116168013	ENSG00000243753	-0.278948109060344	-6.72033534567233	6.84882833615916e-11	2.74663271334472e-06
rs114240154	ENSG00000229391	-0.421934989848959	-6.63974325942237	1.11888425045061e-10	4.35116454096903e-06
rs114816793	ENSG00000253570	-0.343944898556926	-6.54680965215579	1.95978650845997e-10	7.39714500724656e-06
rs74942078	ENSG00000196126	-0.2710151036601	-6.44832818264836	3.52651905588942e-10	1.29072978843088e-05
rs116168013	ENSG00000235290	-0.392581389036212	-6.4438791401293	3.62079175882451e-10	1.29072978843088e-05
rs114676850	ENSG00000196126	-0.181021721787742	-6.38009835053097	5.27710401975185e-10	1.83032502065403e-05
rs532098	ENSG00000196735	0.135848263097902	6.01660669059094	4.27473101430763e-09	0.000144364190942611
rs116474664	ENSG00000196735	0.139634965131917	5.87241683273919	9.54722892122644e-09	0.000314157198070012
rs11203203	ENSG00000160185	-0.221653225363755	-5.80315624177809	1.39686987350337e-08	0.00044815706308115
rs114816793	ENSG00000243753	-0.281716284854975	-5.71902650984089	2.20725229301372e-08	0.000690879658089215
rs3734523	ENSG00000204644	-2.21049893048746	-5.70831244169962	2.33879892528452e-08	0.00071462446647578
rs116474664	ENSG00000229391	-0.357992177755145	-5.55429153434256	5.32476577379106e-08	0.00158915529378837
rs116392568	ENSG00000204632	-0.221933477647237	-5.46041680372614	8.71532321475154e-08	0.0025419388993883
rs2442719	ENSG00000253570	-0.162112419138418	-5.29964959827348	1.99525667825321e-07	0.00569010846627235
rs111410428	ENSG00000232629	-0.347857478412181	-5.26288999712083	2.40459874464202e-07	0.00670840185168807
rs74942078	ENSG00000204644	-2.08227308281928	-5.24299148036715	2.65903868073275e-07	0.00726040893974595
rs114240154	ENSG00000017427	0.186224506338824	5.1844292907173	3.56872921414012e-07	0.00954128007839974
rs116168013	ENSG00000225851	-0.54804244533459	-5.17537080062735	3.73402677739448e-07	0.00977947709369863
rs6974491	ENSG00000258760	0.461142387515546	5.15551336690597	4.12274688788023e-07	0.0104116243400436
rs660895	ENSG00000229391	-0.380580972719233	-5.15478839478991	4.1376559928422e-07	0.0104116243400436
rs11712165	ENSG00000260891	-0.502122637368959	-5.12323523223349	4.83965723266341e-07	0.0117185268688814
rs61579022	ENSG00000260891	-0.502122637368959	-5.12323523223349	4.83965723266341e-07	0.0117185268688814
